timestamp,thread,endpoint,status_code,latency_ms
1779027946592,Load Users 1-13,POST /batch mixed tasks,200,506
1779027947046,Load Users 1-12,POST /batch mixed tasks,200,54
1779027946954,Load Users 1-21,POST /batch mixed tasks,200,149
1779027946862,Load Users 1-52,GET /work random mode,200,245
1779027946951,Load Users 1-39,GET /work random mode,200,165
1779027946957,Load Users 1-55,POST /batch mixed tasks,200,168
1779027947001,Load Users 1-4,GET /work random mode,200,124
1779027947093,Load Users 1-14,GET /work random mode,200,35
1779027946845,Load Users 1-50,POST /batch mixed tasks,200,292
1779027946793,Load Users 1-24,POST /batch mixed tasks,200,349
1779027946774,Load Users 1-36,POST /batch mixed tasks,200,376
1779027947070,Load Users 1-16,GET /work random mode,200,81
1779027946999,Load Users 1-33,POST /batch mixed tasks,200,155
1779027946787,Load Users 1-3,POST /batch mixed tasks,200,370
1779027946786,Load Users 1-6,GET /work random mode,200,378
1779027947141,Load Users 1-21,GET /work random mode,200,30
1779027947125,Load Users 1-7,GET /work random mode,200,59
1779027946820,Load Users 1-51,GET /work random mode,200,364
1779027947066,Load Users 1-40,POST /batch mixed tasks,200,121
1779027947033,Load Users 1-61,GET /work random mode,200,162
1779027947061,Load Users 1-60,GET /work random mode,200,138
1779027946906,Load Users 1-45,GET /work random mode,200,299
1779027946827,Load Users 1-32,POST /batch mixed tasks,200,378
1779027946914,Load Users 1-10,POST /batch mixed tasks,200,306
1779027946815,Load Users 1-35,GET /work random mode,200,408
1779027946964,Load Users 1-19,POST /batch mixed tasks,200,260
1779027947149,Load Users 1-13,GET /work random mode,200,79
1779027947145,Load Users 1-63,GET /work random mode,200,98
1779027947059,Load Users 1-41,GET /work random mode,200,190
1779027946943,Load Users 1-2,POST /batch mixed tasks,200,310
1779027947232,Load Users 1-36,GET /work random mode,200,25
1779027947162,Load Users 1-68,GET /work random mode,200,99
1779027947114,Load Users 1-37,GET /work random mode,200,150
1779027947257,Load Users 1-32,GET /work random mode,200,10
1779027947129,Load Users 1-22,GET /work random mode,200,141
1779027947248,Load Users 1-39,GET /work random mode,200,36
1779027947164,Load Users 1-12,GET /work random mode,200,128
1779027947120,Load Users 1-29,GET /work random mode,200,188
1779027947043,Load Users 1-58,POST /batch mixed tasks,200,265
1779027947082,Load Users 1-62,POST /batch mixed tasks,200,234
1779027947009,Load Users 1-20,GET /work random mode,200,307
