dataplane_mode,sku_id,sku_cpu,sku_memory_gb,throughput_rps_mean,throughput_rps_std,avg_latency_ms_mean,avg_latency_ms_std,avg_vm_watts_mean,avg_vm_watts_std,avg_host_watts_mean,avg_host_watts_std,throughput_per_vm_watt_mean,throughput_per_vm_watt_std,replicas_mean,replicas_std
baseline,c4-r4g,4,4,10.06,,2248.0,,629666.666667,,63.0,,1.59767072525061e-05,,12.0,
baseline,c4-r8g,4,8,15.166666666666666,,1222.0,,577000.0,,43.666667,,2.6285384170999422e-05,,16.0,
baseline,c4-r16g,4,16,14.97,,1237.0,,270000.0,,36.666667,,5.544444444444445e-05,,16.0,
baseline,c8-r8g,8,8,29.8,,574.0,,715666.666667,,65.666667,,4.1639496972500396e-05,,24.0,
baseline,c8-r16g,8,16,29.72,,575.0,,206333.333333,,56.333333,,0.00014403877221347988,,32.0,
baseline,c8-r24g,8,24,29.593333333333334,,577.0,,496000.0,,46.0,,5.966397849462366e-05,,32.0,
baseline,c16-r8g,16,8,33.986666666666665,,495.0,,581500.0,,48.166667,,5.844654628833476e-05,,24.0,
baseline,c16-r16g,16,16,46.8,,331.0,,853666.666667,,53.666667,,5.48223350253593e-05,,49.0,
baseline,c16-r24g,16,24,47.61,,324.0,,831000.0,,64.333333,,5.7292418772563176e-05,,64.0,
cilium,c8-r8g,8,8,29.663333333333334,,576.0,,527000.0,,60.333333,,5.628716002530044e-05,,24.0,
cilium,c8-r16g,8,16,29.623333333333335,,576.0,,501000.0,,51.0,,5.9128409846972726e-05,,32.0,
cilium,c8-r24g,8,24,29.013333333333332,,590.0,,529500.0,,46.166667,,5.4793830657853315e-05,,32.0,
cilium,c16-r8g,16,8,33.096666666666664,,500.0,,583166.666667,,83.166667,,5.67533581022825e-05,,24.0,
cilium,c16-r16g,16,16,47.15,,328.0,,818333.333333,,51.666667,,5.7617107942996996e-05,,49.0,
cilium,c16-r24g,16,24,47.15,,328.0,,743333.333333,,60.0,,6.343049327357104e-05,,64.0,
