sku_id,cpus,memory_mb
c4-r4g,4,4096
c4-r8g,4,8192
c4-r16g,4,16384
c8-r8g,8,8192
c8-r16g,8,16384
c8-r24g,8,24576
c16-r8g,16,8192
c16-r16g,16,16384
c16-r24g,16,24576
