sku_id,status,exit_code,run_dir,error_timestamp,error_reason
c4-r4g,failed,1,[2026-04-06T21:48:55Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c4-r4g/20260406T214230Z/power_samples.csv,2026-04-06T21:48:55Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c4-r4g.stderr.log
c4-r8g,failed,1,[2026-04-06T21:55:17Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c4-r8g/20260406T214855Z/power_samples.csv,2026-04-06T21:55:17Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c4-r8g.stderr.log
c4-r16g,failed,1,[2026-04-06T22:01:38Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c4-r16g/20260406T215517Z/power_samples.csv,2026-04-06T22:01:38Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c4-r16g.stderr.log
c8-r8g,failed,1,[2026-04-06T22:08:05Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c8-r8g/20260406T220138Z/power_samples.csv,2026-04-06T22:08:05Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c8-r8g.stderr.log
c8-r16g,failed,1,[2026-04-06T22:14:29Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c8-r16g/20260406T220805Z/power_samples.csv,2026-04-06T22:14:29Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c8-r16g.stderr.log
c8-r24g,failed,1,[2026-04-06T22:20:57Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c8-r24g/20260406T221429Z/power_samples.csv,2026-04-06T22:20:57Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c8-r24g.stderr.log
c16-r8g,failed,1,[2026-04-06T22:27:20Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c16-r8g/20260406T222057Z/power_samples.csv,2026-04-06T22:27:20Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c16-r8g.stderr.log
c16-r16g,failed,1,[2026-04-06T22:33:43Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c16-r16g/20260406T222720Z/power_samples.csv,2026-04-06T22:33:43Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c16-r16g.stderr.log
c16-r24g,failed,1,[2026-04-06T22:40:08Z] Power metrics collected: /home/darius/licenta/RL-K8-Scheduler/iteration2/results/c16-r24g/20260406T223343Z/power_samples.csv,2026-04-06T22:40:08Z,see /home/darius/licenta/RL-K8-Scheduler/iteration2/results/matrix-20260406T214230Z/c16-r24g.stderr.log
