timestamp,sample,host_pkg_joules,host_pkg_watts,vm_cpu_share,vm_attributed_watts,vm_pid
2026-05-17T01:43:53Z,1,868,11,86,811000,0,320393,27,813637,91358
2026-05-17T01:44:03Z,2,926,72,92,672000,0,382036,35,404040,91358
2026-05-17T01:44:13Z,3,926,97,92,697000,0,377821,35,022873,91358
2026-05-17T01:44:23Z,4,927,52,92,752000,0,365857,33,933968,91358
2026-05-17T01:44:33Z,5,927,20,92,720000,0,370750,34,375940,91358
2026-05-17T01:44:43Z,6,926,71,92,671000,0,361036,33,457567,91358
2026-05-17T01:44:53Z,7,927,39,92,739000,0,376536,34,919572,91358
2026-05-17T01:45:03Z,8,922,96,92,296000,0,358429,33,081563,91358
2026-05-17T01:45:13Z,9,925,05,92,505000,0,364536,33,721403,91358
2026-05-17T01:45:23Z,10,924,34,92,434000,0,366286,33,857280,91358
2026-05-17T01:45:33Z,11,927,57,92,757000,0,366536,33,998780,91358
2026-05-17T01:45:43Z,12,925,24,92,524000,0,371000,34,326404,91358
2026-05-17T01:45:53Z,13,926,51,92,651000,0,368286,34,122066,91358
2026-05-17T01:46:03Z,14,848,55,84,855000,0,339643,28,820407,91358
2026-05-17T01:46:13Z,15,926,57,92,657000,0,371321,34,405490,91358
2026-05-17T01:46:23Z,16,925,91,92,591000,0,361464,33,468313,91358
2026-05-17T01:46:33Z,17,926,38,92,638000,0,358500,33,210723,91358
2026-05-17T01:46:43Z,18,926,51,92,651000,0,378750,35,091566,91358
2026-05-17T01:46:53Z,19,927,91,92,791000,0,392536,36,423808,91358
2026-05-17T01:47:03Z,20,926,14,92,614000,0,372607,34,508625,91358
2026-05-17T01:47:14Z,21,926,69,92,669000,0,367393,34,045942,91358
2026-05-17T01:47:24Z,22,927,62,92,762000,0,377286,34,997804,91358
2026-05-17T01:47:34Z,23,925,68,92,568000,0,369964,34,246828,91358
2026-05-17T01:47:44Z,24,925,88,92,588000,0,390500,36,155614,91358
2026-05-17T01:47:54Z,25,925,34,92,534000,0,365643,33,834409,91358
2026-05-17T01:48:04Z,26,927,02,92,702000,0,364857,33,822974,91358
2026-05-17T01:48:14Z,27,927,45,92,745000,0,364107,33,769104,91358
2026-05-17T01:48:24Z,28,925,58,92,558000,0,370357,34,279503,91358
2026-05-17T01:48:34Z,29,923,55,92,355000,0,363143,33,538072,91358
2026-05-17T01:48:44Z,30,924,99,92,499000,0,364536,33,719215,91358
