timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779037836346,57,GET /work random mode,200,OK,Load Users 1-2,text,true,,284,153,25,25,http://192.168.39.145:30096/work?mode=memory&intensity=5,53,0,15
1779037836386,61,GET /work random mode,200,OK,Load Users 1-6,text,true,,284,153,27,27,http://192.168.39.145:30096/work?mode=memory&intensity=4,61,0,0
1779037836346,128,GET /work random mode,200,OK,Load Users 1-15,text,true,,452,153,29,29,http://192.168.39.145:30096/work?mode=mixed&intensity=11,128,0,15
1779037836346,131,GET /work random mode,200,OK,Load Users 1-13,text,true,,285,153,29,29,http://192.168.39.145:30096/work?mode=memory&intensity=7,131,0,15
1779037836390,112,GET /work random mode,200,OK,Load Users 1-5,text,true,,451,152,30,30,http://192.168.39.145:30096/work?mode=mixed&intensity=8,112,0,0
1779037836480,29,GET /work random mode,200,OK,Load Users 1-2,text,true,,447,152,30,30,http://192.168.39.145:30096/work?mode=mixed&intensity=2,29,0,0
1779037836357,161,POST /batch mixed tasks,200,OK,Load Users 1-9,text,true,,513,284,31,31,http://192.168.39.145:30096/batch,161,0,12
1779037836346,178,GET /work random mode,200,OK,Load Users 1-12,text,true,,453,153,31,31,http://192.168.39.145:30096/work?mode=mixed&intensity=12,178,0,15
1779037836353,173,POST /batch mixed tasks,200,OK,Load Users 1-19,text,true,,515,285,31,31,http://192.168.39.145:30096/batch,173,0,16
1779037836376,184,POST /batch mixed tasks,200,OK,Load Users 1-7,text,true,,513,284,33,33,http://192.168.39.145:30096/batch,184,0,1
1779037836346,219,GET /work random mode,200,OK,Load Users 1-10,text,true,,453,153,33,33,http://192.168.39.145:30096/work?mode=mixed&intensity=14,219,0,15
1779037836573,5,GET /work random mode,200,OK,Load Users 1-30,text,true,,260,150,34,34,http://192.168.39.145:30096/work?mode=cpu&intensity=3,5,0,0
1779037836529,49,POST /batch mixed tasks,200,OK,Load Users 1-26,text,true,,512,284,34,34,http://192.168.39.145:30096/batch,49,0,1
1779037836346,241,GET /work random mode,200,OK,Load Users 1-18,text,true,,277,150,34,34,http://192.168.39.145:30096/work?mode=io&intensity=10,241,0,15
1779037836429,161,POST /batch mixed tasks,200,OK,Load Users 1-24,text,true,,516,285,35,35,http://192.168.39.145:30096/batch,161,0,1
1779037836379,217,GET /work random mode,200,OK,Load Users 1-1,text,true,,452,153,35,35,http://192.168.39.145:30096/work?mode=mixed&intensity=11,217,0,1
1779037836403,194,POST /batch mixed tasks,200,OK,Load Users 1-3,text,true,,515,284,35,35,http://192.168.39.145:30096/batch,194,0,1
1779037836387,210,POST /batch mixed tasks,200,OK,Load Users 1-17,text,true,,514,284,35,35,http://192.168.39.145:30096/batch,210,0,1
1779037836449,159,POST /batch mixed tasks,200,OK,Load Users 1-22,text,true,,514,284,35,35,http://192.168.39.145:30096/batch,159,0,0
1779037836611,6,GET /work random mode,200,OK,Load Users 1-7,text,true,,260,150,36,36,http://192.168.39.145:30096/work?mode=cpu&intensity=5,6,0,1
1779037836454,179,GET /work random mode,200,OK,Load Users 1-23,text,true,,450,152,37,37,http://192.168.39.145:30096/work?mode=mixed&intensity=7,179,0,1
1779037836346,290,POST /batch mixed tasks,200,OK,Load Users 1-8,text,true,,515,284,37,37,http://192.168.39.145:30096/batch,290,0,24
1779037836346,346,POST /batch mixed tasks,200,OK,Load Users 1-16,text,true,,515,285,40,40,http://192.168.39.145:30096/batch,346,0,23
1779037836642,66,GET /work random mode,200,OK,Load Users 1-33,text,true,,276,149,40,40,http://192.168.39.145:30096/work?mode=io&intensity=5,66,0,0
1779037836702,7,GET /work random mode,200,OK,Load Users 1-17,text,true,,261,151,41,41,http://192.168.39.145:30096/work?mode=cpu&intensity=12,7,0,0
1779037836649,62,POST /batch mixed tasks,200,OK,Load Users 1-19,text,true,,512,284,41,41,http://192.168.39.145:30096/batch,62,0,0
1779037836709,2,GET /work random mode,200,OK,Load Users 1-39,text,true,,260,150,41,41,http://192.168.39.145:30096/work?mode=cpu&intensity=3,2,0,0
1779037836663,65,POST /batch mixed tasks,200,OK,Load Users 1-35,text,true,,512,284,41,41,http://192.168.39.145:30096/batch,65,0,1
1779037836396,342,POST /batch mixed tasks,200,OK,Load Users 1-21,text,true,,515,285,42,42,http://192.168.39.145:30096/batch,342,0,1
1779037836726,37,POST /batch mixed tasks,200,OK,Load Users 1-7,text,true,,512,284,43,43,http://192.168.39.145:30096/batch,37,0,1
1779037836346,430,POST /batch mixed tasks,200,OK,Load Users 1-4,text,true,,515,284,44,44,http://192.168.39.145:30096/batch,430,0,24
1779037836753,47,GET /work random mode,200,OK,Load Users 1-33,text,true,,284,153,45,45,http://192.168.39.145:30096/work?mode=memory&intensity=5,47,0,0
1779037836552,250,POST /batch mixed tasks,200,OK,Load Users 1-13,text,true,,518,287,45,45,http://192.168.39.145:30096/batch,250,0,1
1779037836346,458,POST /batch mixed tasks,200,OK,Load Users 1-14,text,true,,516,284,45,45,http://192.168.39.145:30096/batch,457,0,24
1779037836743,61,GET /work random mode,200,OK,Load Users 1-39,text,true,,276,149,45,45,http://192.168.39.145:30096/work?mode=io&intensity=3,61,0,1
1779037836554,298,POST /batch mixed tasks,200,OK,Load Users 1-27,text,true,,514,284,48,48,http://192.168.39.145:30096/batch,297,0,1
1779037836640,212,GET /work random mode,200,OK,Load Users 1-9,text,true,,279,150,48,48,http://192.168.39.145:30096/work?mode=io&intensity=10,212,0,0
1779037836627,233,POST /batch mixed tasks,200,OK,Load Users 1-32,text,true,,516,285,48,48,http://192.168.39.145:30096/batch,233,0,1
1779037836714,147,POST /batch mixed tasks,200,OK,Load Users 1-38,text,true,,514,284,48,48,http://192.168.39.145:30096/batch,147,0,1
1779037836510,364,GET /work random mode,200,OK,Load Users 1-29,text,true,,276,149,49,49,http://192.168.39.145:30096/work?mode=io&intensity=3,364,0,0
1779037836376,500,GET /work random mode,200,OK,Load Users 1-20,text,true,,278,149,49,49,http://192.168.39.145:30096/work?mode=io&intensity=9,500,0,1
1779037836785,101,GET /work random mode,200,OK,Load Users 1-35,text,true,,448,152,49,49,http://192.168.39.145:30096/work?mode=mixed&intensity=5,101,0,1
1779037836474,414,POST /batch mixed tasks,200,OK,Load Users 1-25,text,true,,516,284,49,49,http://192.168.39.145:30096/batch,414,0,1
1779037836729,168,POST /batch mixed tasks,200,OK,Load Users 1-36,text,true,,514,284,50,50,http://192.168.39.145:30096/batch,168,0,1
1779037836849,50,GET /work random mode,200,OK,Load Users 1-21,text,true,,260,150,50,50,http://192.168.39.145:30096/work?mode=cpu&intensity=2,50,0,1
1779037836849,52,GET /work random mode,200,OK,Load Users 1-14,text,true,,449,152,50,50,http://192.168.39.145:30096/work?mode=mixed&intensity=7,52,0,1
1779037836378,523,POST /batch mixed tasks,200,OK,Load Users 1-11,text,true,,516,285,50,50,http://192.168.39.145:30096/batch,523,0,1
1779037836770,135,GET /work random mode,200,OK,Load Users 1-37,text,true,,451,152,50,50,http://192.168.39.145:30096/work?mode=mixed&intensity=7,135,0,1
1779037836693,227,POST /batch mixed tasks,200,OK,Load Users 1-26,text,true,,516,285,51,51,http://192.168.39.145:30096/batch,227,0,1
1779037836642,288,POST /batch mixed tasks,200,OK,Load Users 1-18,text,true,,515,284,52,52,http://192.168.39.145:30096/batch,288,0,1
1779037836767,168,POST /batch mixed tasks,200,OK,Load Users 1-23,text,true,,513,284,52,52,http://192.168.39.145:30096/batch,168,0,1
1779037836672,283,POST /batch mixed tasks,200,OK,Load Users 1-12,text,true,,516,285,53,53,http://192.168.39.145:30096/batch,283,0,0
1779037836944,30,GET /work random mode,200,OK,Load Users 1-25,text,true,,284,153,54,54,http://192.168.39.145:30096/work?mode=memory&intensity=9,30,0,1
1779037836907,69,POST /batch mixed tasks,200,OK,Load Users 1-32,text,true,,513,285,54,54,http://192.168.39.145:30096/batch,69,0,1
1779037836906,82,GET /work random mode,200,OK,Load Users 1-39,text,true,,452,153,54,54,http://192.168.39.145:30096/work?mode=mixed&intensity=14,82,0,1
1779037836698,302,POST /batch mixed tasks,200,OK,Load Users 1-34,text,true,,516,285,55,55,http://192.168.39.145:30096/batch,302,0,1
1779037836598,412,GET /work random mode,200,OK,Load Users 1-31,text,true,,280,150,56,56,http://192.168.39.145:30096/work?mode=io&intensity=13,412,0,1
1779037836543,511,POST /batch mixed tasks,200,OK,Load Users 1-6,text,true,,517,285,58,58,http://192.168.39.145:30096/batch,511,0,2
1779037836646,410,GET /work random mode,200,OK,Load Users 1-3,text,true,,260,150,58,58,http://192.168.39.145:30096/work?mode=cpu&intensity=2,410,0,1
