timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779035106099,40,GET /work random mode,200,OK,Load Users 1-8,text,true,,284,153,23,23,http://192.168.39.247:32645/work?mode=memory&intensity=2,36,0,16
1779035106099,44,GET /work random mode,200,OK,Load Users 1-7,text,true,,262,151,24,24,http://192.168.39.247:32645/work?mode=cpu&intensity=12,44,0,16
1779035106130,38,GET /work random mode,200,OK,Load Users 1-12,text,true,,262,151,25,25,http://192.168.39.247:32645/work?mode=cpu&intensity=14,38,0,0
1779035106154,35,GET /work random mode,200,OK,Load Users 1-22,text,true,,262,151,26,26,http://192.168.39.247:32645/work?mode=cpu&intensity=10,35,0,1
1779035106147,66,GET /work random mode,200,OK,Load Users 1-5,text,true,,284,153,27,27,http://192.168.39.247:32645/work?mode=memory&intensity=2,66,0,0
1779035106239,94,GET /work random mode,200,OK,Load Users 1-22,text,true,,284,153,33,33,http://192.168.39.247:32645/work?mode=memory&intensity=9,94,0,1
1779035106122,268,GET /work random mode,200,OK,Load Users 1-14,text,true,,452,153,36,36,http://192.168.39.247:32645/work?mode=mixed&intensity=13,268,0,0
1779035106099,301,POST /batch mixed tasks,200,OK,Load Users 1-2,text,true,,514,284,36,36,http://192.168.39.247:32645/batch,301,0,19
1779035106241,163,GET /work random mode,200,OK,Load Users 1-7,text,true,,278,149,37,37,http://192.168.39.247:32645/work?mode=io&intensity=5,163,0,1
1779035106099,306,POST /batch mixed tasks,200,OK,Load Users 1-1,text,true,,516,285,37,37,http://192.168.39.247:32645/batch,306,0,19
1779035106109,319,GET /work random mode,200,OK,Load Users 1-9,text,true,,278,149,38,38,http://192.168.39.247:32645/work?mode=io&intensity=6,319,0,7
1779035106139,296,POST /batch mixed tasks,200,OK,Load Users 1-17,text,true,,515,284,38,38,http://192.168.39.247:32645/batch,296,0,1
1779035106301,145,GET /work random mode,200,OK,Load Users 1-28,text,true,,260,150,39,39,http://192.168.39.247:32645/work?mode=cpu&intensity=3,145,0,0
1779035106099,352,POST /batch mixed tasks,200,OK,Load Users 1-11,text,true,,514,284,39,39,http://192.168.39.247:32645/batch,352,0,19
1779035106299,160,GET /work random mode,200,OK,Load Users 1-27,text,true,,285,153,39,39,http://192.168.39.247:32645/work?mode=memory&intensity=7,160,0,1
