sku_id,status,exit_code,run_dir,error_timestamp,error_reason
c4-r4g,failed,1,[2026-05-14T17:50:50Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:50:50Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c4-r4g.stderr.log
c4-r8g,failed,1,[2026-05-14T17:51:19Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:51:19Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c4-r8g.stderr.log
c4-r16g,failed,1,[2026-05-14T17:51:46Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:51:46Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c4-r16g.stderr.log
c8-r8g,failed,1,[2026-05-14T17:52:14Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:52:14Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c8-r8g.stderr.log
c8-r16g,failed,1,[2026-05-14T17:52:42Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:52:42Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c8-r16g.stderr.log
c8-r24g,failed,1,[2026-05-14T17:53:12Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:53:12Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c8-r24g.stderr.log
c16-r8g,failed,1,[2026-05-14T17:53:42Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:53:42Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c16-r8g.stderr.log
c16-r16g,failed,1,[2026-05-14T17:54:14Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:54:14Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c16-r16g.stderr.log
c16-r24g,failed,1,[2026-05-14T17:54:44Z] ERROR: Failed to start minikube tunnel. Check /home/darius/dizertatie/masters-research/logs/minikube_tunnel.log,2026-05-14T17:54:44Z,see /home/darius/dizertatie/masters-research/results/matrix-baseline-20260514T175022Z/c16-r24g.stderr.log
